10000, 992, 445, 10000, 992, 274, 10000, 992, 511, 10000, 992, 389, 10000, 992, 338, 
20000, 979, 373, 20000, 979, 211, 20000, 979, 239, 20000, 979, 287, 20000, 979, 224, 
40000, 1000, 414, 40000, 1000, 245, 40000, 1000, 615, 40000, 1000, 254, 40000, 1000, 225, 
80000, 993, 454, 80000, 993, 381, 80000, 993, 435, 80000, 993, 398, 80000, 993, 372, 
160000, 997, 538, 160000, 997, 550, 160000, 997, 646, 160000, 997, 512, 160000, 997, 493, 
320000, 984, 589, 320000, 984, 854, 320000, 984, 515, 320000, 984, 598, 320000, 984, 777, 
640000, 985, 974, 640000, 985, 858, 640000, 985, 825, 640000, 985, 1040, 640000, 985, 1103, 
1280000, 1004, 1529, 1280000, 1004, 1702, 1280000, 1004, 1543, 1280000, 1004, 2428, 1280000, 1004, 1682, 
2560000, 1013, 2904, 2560000, 1013, 2831, 2560000, 1013, 2740, 2560000, 1013, 3984, 2560000, 1013, 3242, 
5120000, 1005, 5596, 5120000, 1005, 5956, 5120000, 1005, 5506, 5120000, 1005, 7257, 5120000, 1005, 4652, 
10240000, 1051, 10964, 10240000, 1051, 12144, 10240000, 1051, 11110, 10240000, 1051, 13137, 10240000, 1051, 10726, 
20480000, 1044, 18481, 20480000, 1044, 11364, 20480000, 1044, 14769, 20480000, 1044, 15648, 20480000, 1044, 16420, 
40960000, 1043, 26146, 40960000, 1043, 24078, 40960000, 1043, 24184, 40960000, 1043, 25975, 40960000, 1043, 25792, 
81920000, 1030, 43643, 81920000, 1030, 48296, 81920000, 1030, 43711, 81920000, 1030, 51463, 81920000, 1030, 42300, 
163840000, 1054, 76465, 163840000, 1054, 77147, 163840000, 1054, 87887, 163840000, 1054, 92108, 163840000, 1054, 91472, 
327680000, 1075, 150215, 327680000, 1075, 146483, 327680000, 1075, 140882, 327680000, 1075, 148764, 327680000, 1075, 141987, 
655360000, 1032, 274131, 655360000, 1032, 293675, 655360000, 1032, 284464, 655360000, 1032, 279560, 655360000, 1032, 294828, 
