10000, 992, 743, 10000, 992, 743, 10000, 992, 743, 10000, 992, 743, 10000, 992, 743, 10000, 992, 743, 10000, 992, 743, 10000, 992, 681, 10000, 992, 743, 10000, 992, 681, 10000, 992, 743, 10000, 992, 681, 10000, 992, 743, 10000, 992, 681, 10000, 992, 743, 10000, 992, 681, 10000, 992, 743, 10000, 992, 681, 10000, 992, 743, 10000, 992, 681, 10000, 992, 680, 10000, 992, 743, 10000, 992, 681, 10000, 992, 680, 10000, 992, 743, 10000, 992, 681, 10000, 992, 680, 10000, 992, 743, 10000, 992, 681, 10000, 992, 680, 10000, 992, 743, 10000, 992, 681, 10000, 992, 680, 10000, 992, 743, 10000, 992, 681, 10000, 992, 680, 10000, 992, 743, 10000, 992, 681, 10000, 992, 680, 10000, 992, 695, 10000, 992, 743, 10000, 992, 681, 10000, 992, 680, 10000, 992, 695, 10000, 992, 743, 10000, 992, 681, 10000, 992, 680, 10000, 992, 695, 10000, 992, 743, 10000, 992, 681, 10000, 992, 680, 10000, 992, 695, 10000, 992, 743, 10000, 992, 681, 10000, 992, 680, 10000, 992, 695, 10000, 992, 743, 10000, 992, 681, 10000, 992, 680, 10000, 992, 695, 10000, 992, 743, 10000, 992, 681, 10000, 992, 680, 10000, 992, 695, 10000, 992, 691, 
20000, 979, 474, 20000, 979, 474, 20000, 979, 474, 20000, 979, 474, 20000, 979, 474, 20000, 979, 474, 20000, 979, 474, 20000, 979, 441, 20000, 979, 474, 20000, 979, 441, 20000, 979, 474, 20000, 979, 441, 20000, 979, 474, 20000, 979, 441, 20000, 979, 474, 20000, 979, 441, 20000, 979, 474, 20000, 979, 441, 20000, 979, 474, 20000, 979, 441, 20000, 979, 685, 20000, 979, 474, 20000, 979, 441, 20000, 979, 685, 20000, 979, 474, 20000, 979, 441, 20000, 979, 685, 20000, 979, 474, 20000, 979, 441, 20000, 979, 685, 20000, 979, 474, 20000, 979, 441, 20000, 979, 685, 20000, 979, 474, 20000, 979, 441, 20000, 979, 685, 20000, 979, 474, 20000, 979, 441, 20000, 979, 685, 20000, 979, 464, 20000, 979, 474, 20000, 979, 441, 20000, 979, 685, 20000, 979, 464, 20000, 979, 474, 20000, 979, 441, 20000, 979, 685, 20000, 979, 464, 20000, 979, 474, 20000, 979, 441, 20000, 979, 685, 20000, 979, 464, 20000, 979, 474, 20000, 979, 441, 20000, 979, 685, 20000, 979, 464, 20000, 979, 474, 20000, 979, 441, 20000, 979, 685, 20000, 979, 464, 20000, 979, 474, 20000, 979, 441, 20000, 979, 685, 20000, 979, 464, 20000, 979, 515, 
40000, 1000, 674, 40000, 1000, 674, 40000, 1000, 674, 40000, 1000, 674, 40000, 1000, 674, 40000, 1000, 674, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 3006, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 3006, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 3006, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 3006, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 3006, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 3006, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 3006, 40000, 1000, 795, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 3006, 40000, 1000, 795, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 3006, 40000, 1000, 795, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 3006, 40000, 1000, 795, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 3006, 40000, 1000, 795, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 3006, 40000, 1000, 795, 40000, 1000, 674, 40000, 1000, 897, 40000, 1000, 3006, 40000, 1000, 795, 40000, 1000, 970, 
80000, 993, 822, 80000, 993, 822, 80000, 993, 822, 80000, 993, 822, 80000, 993, 822, 80000, 993, 822, 80000, 993, 822, 80000, 993, 892, 80000, 993, 822, 80000, 993, 892, 80000, 993, 822, 80000, 993, 892, 80000, 993, 822, 80000, 993, 892, 80000, 993, 822, 80000, 993, 892, 80000, 993, 822, 80000, 993, 892, 80000, 993, 822, 80000, 993, 892, 80000, 993, 789, 80000, 993, 822, 80000, 993, 892, 80000, 993, 789, 80000, 993, 822, 80000, 993, 892, 80000, 993, 789, 80000, 993, 822, 80000, 993, 892, 80000, 993, 789, 80000, 993, 822, 80000, 993, 892, 80000, 993, 789, 80000, 993, 822, 80000, 993, 892, 80000, 993, 789, 80000, 993, 822, 80000, 993, 892, 80000, 993, 789, 80000, 993, 848, 80000, 993, 822, 80000, 993, 892, 80000, 993, 789, 80000, 993, 848, 80000, 993, 822, 80000, 993, 892, 80000, 993, 789, 80000, 993, 848, 80000, 993, 822, 80000, 993, 892, 80000, 993, 789, 80000, 993, 848, 80000, 993, 822, 80000, 993, 892, 80000, 993, 789, 80000, 993, 848, 80000, 993, 822, 80000, 993, 892, 80000, 993, 789, 80000, 993, 848, 80000, 993, 822, 80000, 993, 892, 80000, 993, 789, 80000, 993, 848, 80000, 993, 891, 
160000, 997, 878, 160000, 997, 878, 160000, 997, 878, 160000, 997, 878, 160000, 997, 878, 160000, 997, 878, 160000, 997, 878, 160000, 997, 953, 160000, 997, 878, 160000, 997, 953, 160000, 997, 878, 160000, 997, 953, 160000, 997, 878, 160000, 997, 953, 160000, 997, 878, 160000, 997, 953, 160000, 997, 878, 160000, 997, 953, 160000, 997, 878, 160000, 997, 953, 160000, 997, 606, 160000, 997, 878, 160000, 997, 953, 160000, 997, 606, 160000, 997, 878, 160000, 997, 953, 160000, 997, 606, 160000, 997, 878, 160000, 997, 953, 160000, 997, 606, 160000, 997, 878, 160000, 997, 953, 160000, 997, 606, 160000, 997, 878, 160000, 997, 953, 160000, 997, 606, 160000, 997, 878, 160000, 997, 953, 160000, 997, 606, 160000, 997, 1049, 160000, 997, 878, 160000, 997, 953, 160000, 997, 606, 160000, 997, 1049, 160000, 997, 878, 160000, 997, 953, 160000, 997, 606, 160000, 997, 1049, 160000, 997, 878, 160000, 997, 953, 160000, 997, 606, 160000, 997, 1049, 160000, 997, 878, 160000, 997, 953, 160000, 997, 606, 160000, 997, 1049, 160000, 997, 878, 160000, 997, 953, 160000, 997, 606, 160000, 997, 1049, 160000, 997, 878, 160000, 997, 953, 160000, 997, 606, 160000, 997, 1049, 160000, 997, 816, 
320000, 984, 834, 320000, 984, 834, 320000, 984, 834, 320000, 984, 834, 320000, 984, 834, 320000, 984, 834, 320000, 984, 834, 320000, 984, 735, 320000, 984, 834, 320000, 984, 735, 320000, 984, 834, 320000, 984, 735, 320000, 984, 834, 320000, 984, 735, 320000, 984, 834, 320000, 984, 735, 320000, 984, 834, 320000, 984, 735, 320000, 984, 834, 320000, 984, 735, 320000, 984, 716, 320000, 984, 834, 320000, 984, 735, 320000, 984, 716, 320000, 984, 834, 320000, 984, 735, 320000, 984, 716, 320000, 984, 834, 320000, 984, 735, 320000, 984, 716, 320000, 984, 834, 320000, 984, 735, 320000, 984, 716, 320000, 984, 834, 320000, 984, 735, 320000, 984, 716, 320000, 984, 834, 320000, 984, 735, 320000, 984, 716, 320000, 984, 1380, 320000, 984, 834, 320000, 984, 735, 320000, 984, 716, 320000, 984, 1380, 320000, 984, 834, 320000, 984, 735, 320000, 984, 716, 320000, 984, 1380, 320000, 984, 834, 320000, 984, 735, 320000, 984, 716, 320000, 984, 1380, 320000, 984, 834, 320000, 984, 735, 320000, 984, 716, 320000, 984, 1380, 320000, 984, 834, 320000, 984, 735, 320000, 984, 716, 320000, 984, 1380, 320000, 984, 834, 320000, 984, 735, 320000, 984, 716, 320000, 984, 1380, 320000, 984, 863, 
640000, 985, 1325, 640000, 985, 1325, 640000, 985, 1325, 640000, 985, 1325, 640000, 985, 1325, 640000, 985, 1325, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1262, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1262, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1262, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1262, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1262, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1262, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1262, 640000, 985, 1221, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1262, 640000, 985, 1221, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1262, 640000, 985, 1221, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1262, 640000, 985, 1221, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1262, 640000, 985, 1221, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1262, 640000, 985, 1221, 640000, 985, 1325, 640000, 985, 1145, 640000, 985, 1262, 640000, 985, 1221, 640000, 985, 1353, 
1280000, 1004, 2094, 1280000, 1004, 2094, 1280000, 1004, 2094, 1280000, 1004, 2094, 1280000, 1004, 2094, 1280000, 1004, 2094, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2323, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2323, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2323, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2323, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2323, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2323, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2323, 1280000, 1004, 2130, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2323, 1280000, 1004, 2130, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2323, 1280000, 1004, 2130, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2323, 1280000, 1004, 2130, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2323, 1280000, 1004, 2130, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2323, 1280000, 1004, 2130, 1280000, 1004, 2094, 1280000, 1004, 1882, 1280000, 1004, 2323, 1280000, 1004, 2130, 1280000, 1004, 2095, 
2560000, 1013, 3778, 2560000, 1013, 3778, 2560000, 1013, 3778, 2560000, 1013, 3778, 2560000, 1013, 3778, 2560000, 1013, 3778, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3959, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3959, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3959, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3959, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3959, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3959, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3959, 2560000, 1013, 4648, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3959, 2560000, 1013, 4648, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3959, 2560000, 1013, 4648, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3959, 2560000, 1013, 4648, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3959, 2560000, 1013, 4648, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3959, 2560000, 1013, 4648, 2560000, 1013, 3778, 2560000, 1013, 4136, 2560000, 1013, 3959, 2560000, 1013, 4648, 2560000, 1013, 3334, 
5120000, 1005, 6973, 5120000, 1005, 6973, 5120000, 1005, 6973, 5120000, 1005, 6973, 5120000, 1005, 6973, 5120000, 1005, 6973, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 5843, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 5843, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 5843, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 5843, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 5843, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 5843, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 5843, 5120000, 1005, 8201, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 5843, 5120000, 1005, 8201, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 5843, 5120000, 1005, 8201, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 5843, 5120000, 1005, 8201, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 5843, 5120000, 1005, 8201, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 5843, 5120000, 1005, 8201, 5120000, 1005, 6973, 5120000, 1005, 7261, 5120000, 1005, 5843, 5120000, 1005, 8201, 5120000, 1005, 8398, 
